# Skin -- 48 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Dendritic cell	4181	EDEM1;ERO1A;BCL3;DNAJB9;CBX6;TES;HOOK3;ANKRD37;RASSF2;CLN8;TSPAN33;TET2;WARS1;ATP6V0D1;CHD2;CARD19;RNF145;CEP350;CSRNP1;ZBTB10;BCL2L11;IFNGR2;FNIP2;PADI2;NFKBID;PPTC7;DNAJC3;KDM6B;TNFAIP8;KDM2A;CSNK1D;SYAP1;PDPK1;SH2B3;PFKFB3;PRKD3;MKNK2;OS9;TAB2;ADPGK;CHD6;CLK1;ERO1B;ASH1L;MYO9B;ZMYM2;MAP3K2;LDLRAD4;AGO2;CLECL1	CL:0000451	dendritic cell	CL:1001609 muscle fibroblast | CL:0000863 M1 macrophage | CL:0001058 plasmacytoid dendritic cell, human | CL:0000775 neutrophil | CL:0000897 CD4-positive, alpha-beta memory T cell			
Langerhans cell	3847	CD207;FCGBP;TBC1D4;MTHFR;HLA-DQB2;TRAFD1;TIAM1;HLA-DOB;TRPM4;ACOT7;OTULIN;MCOLN2;CLPTM1;WDR59;PRMT9;TOMM34;MOB3A;FBXO2;ALG2;MIIP;PELI1;SQLE;SNX8;VOPP1;SLC9A7;RAB5B;RALA;TRIP10;CDYL;PIK3R5;NFKBIE;CDC42SE1;PRKAG2;GNA13;CD40;GPR137B;RAPH1;BHLHE40;CORO1C;TRIM69;TMCC3;RAB5A;CERS6;ALCAM;MALT1;OSER1;RNF145;CSRNP1;IRF4;IGLON5	CL:0000453	Langerhans cell	CL:0000453 Langerhans cell | CL:0000990 conventional dendritic cell | CL:0000451 dendritic cell | CL:0000863 M1 macrophage | CL:0000145 professional antigen presenting cell			
B cell	3657	TCL1A;FCRLA;LINC01781;NCF1;MS4A2;RALGPS2;SP140;IGHD;AFF3;NIBAN3;IGLL5;HVCN1;CD19;PARP15;SP110;LINC00926;C16orf74;SPIB;GPR18;FCRL1;BANK1;PLEKHA2;BLK;TPD52;TNFRSF13C;LMBRD1;CD72;LY9;CD22;RAB30;IGLC3;TAGAP;ANKRD37;POU2F2;KDM4B;POLD4;RNGTT;PRDM2;TRIM38;SNX29;SMIM14;HSH2D;CHD2;WASHC4;TSPAN13;CCDC107;ARHGAP17;MZB1;PCDH9;UTRN	CL:0000236	B cell	CL:0000954 small pre-B-II cell | CL:0000816 immature B cell | CL:0000817 precursor B cell | CL:0000822 B-2 B cell | CL:0000785 mature B cell			
Monocyte derived dendritic cell	3655	PTGIR;LILRA1;EBI3;SLC7A11;INHBA;VMO1;SERPINA1;SLC5A3;POGLUT1;CD274;MIR155HG;RHBDF2;EPB41L3;ENPP4;EREG;GK;IL2RA;GNA12;ADAM19;ACOT9;CRLF2;PSD3;MAP3K14;TNFRSF4;LAMP3;IGSF8;ITGB8;ATF5;BEST1;ADAM8;MLLT6;SMOX;GPAT4;DUSP5;LILRB2;SQOR;SLAMF9;IL4I1;EPSTI1;GRINA;PTPN1;NABP1;NAV1;IL10RA;SMIM3;GLS2;HILPDA;CCM2;SLC6A12;IL23A	CL:0000451	dendritic cell	CL:0011031 monocyte-derived dendritic cell | CL:0000782 myeloid dendritic cell | CL:0000863 M1 macrophage | CL:0000990 conventional dendritic cell | CL:0000451 dendritic cell			
NK T cell	3527	ACAP1;MDFIC;SUN2;KLF13;INTS6;IDS;NKTR;KMT2A;PRG2;PCSK7;SPTAN1;CYLD;MAP2K2;AAK1;CCDC107;BCL7C;BOD1L1;CHD2;SLFN5;BCL2;CCDC88C;SLC2A4RG;SYNE2;ANKRD44;CASP8;TTC39C;PPP1R10;FAM89B;RNF213;SIAH2;MPHOSPH8;CD69;NSMCE3;VPS13C;ZNF331;PRDM2;TBC1D10C;ARID1B;ABHD17A;ZC3HAV1;PGPEP1;RSBN1L;TNFSF14;UBALD2;PURA;GRK6;JOSD1;APOBEC3G;SAMD9;EML4	CL:0000814	mature NK T cell	CL:1001609 muscle fibroblast | CL:0000071 blood vessel endothelial cell | CL:0000897 CD4-positive, alpha-beta memory T cell | CL:0000904 central memory CD4-positive, alpha-beta T cell | CL:0000906 activated CD8-positive, alpha-beta T cell			
CD4 T cell	3372	CD40LG;TRAT1;LINC00861;ICOS;GIMAP7;TC2N;CD5;SSH2;ARRDC2;RIPOR2;S1PR1;TMIGD2;MAD1L1;LIMS2;IL16;TRAF3IP3;ANXA2R;SATB1;PDE4D;ZNF331;AAK1;GIMAP2;SCML4;CYLD;RNF125;SH2D1A;SENP7;EPB41;FLT3LG;OXNAD1;ARHGEF1;TBC1D10C;IL27RA;DGKA;MGAT4A;DOCK10;STK38;TMC8;TNFRSF25;TNFRSF14;HMOX2;MCUB;ABLIM1;SERINC5;DENND1C;ARHGAP9;RCAN3;CORO1B;GIMAP4;JAK3	CL:0000624	CD4-positive, alpha-beta T cell	CL:0001050 effector CD8-positive, alpha-beta T cell | CL:0000898 naive T cell | CL:0000900 naive thymus-derived CD8-positive, alpha-beta T cell | CL:0000624 CD4-positive, alpha-beta T cell | CL:0000895 naive thymus-derived CD4-positive, alpha-beta T cell			
Pericyte	3295	CYP26B1;MYLIP;GJA4;CSRP2;RGS5;ZNF503;KCNE4;DNAJB9;TNS1;ARID5A;ADRA2A;REV3L;DDIT3;CDC42EP4;SH3PXD2A;CHN1;IL6;CCL19;SMTN;CCDC107;MOB2;IFRD1;NAT8;SSTR2;SOCS3;HBP1;ARRDC3;ST6GALNAC6;DYNLT3;MCAM;SLFN11;PLEKHA4;ANKRD37;RERGL;ALKBH5;OAT;RERG;AOPEP;CLMN;ESYT2;ZBTB38;APOLD1;PTP4A3;MYH11;NTRK2;OPTN;IRF2BPL;RGS16;BBX;HSPB2	CL:0000669	pericyte	CL:0000669 pericyte | CL:0000540 neuron | CL:4033054 perivascular cell | CL:0002573 Schwann cell | CL:0000183 contractile cell			
Mesenchymal cell	3230	PENK;SEPTIN2;SEPTIN11;SEPTIN7;SERPINE1;CCN2;FRMD6;TMSB4XP4;CCL2;PTX3;DDIT3;RGS16;ECRG4;ADM;ACKR3;MLF1;VCAM1;DNAJB4;FTLP3;CXCL3;PTK7;SNAI1;SGCB;COL16A1;HAS2;MATR3;RECK;CORIN;TWSG1;NR4A1;SFRP2;TNFRSF10D;MSMO1;MFAP2;SEPTIN9;MLLT11;DNM3OS;TFPI2;ARL4D;PCSK9;CXCL1;SNAI2;HMGCS1;MARCHF7;CTHRC1;GRP;CXCL2;ARRDC3;MIR1282;CCN1	CL:0008019	mesenchymal cell	CL:0000359 vascular associated smooth muscle cell | CL:0000192 smooth muscle cell | CL:0000134 mesenchymal stem cell | CL:4033054 perivascular cell | CL:0000183 contractile cell			
Cytotoxic CD8 T cell	3097	TRGC2;MPZL3;RCBTB2;PRKX;CCDC107;CD96;PRG2;EML4;CARD19;LINC00869;GNLY;CEMIP2;ZBTB1;ACAP1;IDS;AHI1;PCSK7;SFXN1;DONSON;FXYD2;P2RY10;TRG-AS1;GABARAPL1;LY9;CLK1;TRAT1;SNHG12;PTPN22;SLFN5;PARP8;RICTOR;SYAP1;MECP2;ANKRD28;APOBEC3G;NKTR;LPAR6;WIPF1;OGA;PREX1;SYTL2;JAML;ZBTB25;ST3GAL1;CSNK1D;SPSB3;CLEC2D;TUBA4A;TRBC1;ZC3HAV1	CL:0000084	T cell	CL:0000910 cytotoxic T cell | CL:0000912 helper T cell | CL:0001065 innate lymphoid cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
Stromal cell	3027	MMP3;GFPT2;GALNTL5;THBS2;CLMP;PTGES;MEDAG;PAPPA;MMP1;TNFAIP6;SH3PXD2B;ZDHHC9;PID1;PRRX2;SLC39A14;ABL1;UAP1;FAM180A;PLEKHM2;RASSF8;LARP6;KAZN;ATP13A3;RSPO3;FMNL2;ACKR3;CXCL1;WIPI1;TMEM158;OSMR;BPNT2;LPAR1;CFH;PGM3;TWIST2;FZD10;MMP10;FTH1P10;SAMD4B;EVA1B;PTGDS;NBL1;SNHG17;IL15RA;CSGALNACT2;PXDC1;PNPLA8;OAF;FST;GLIS3	CL:0000499	stromal cell	CL:2000021 sebaceous gland cell | CL:0002620 skin fibroblast | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000945 lymphocyte of B lineage			
