# Spleen -- 45 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Memory CD4 T cell	4698	NCK2;SC5D;AAK1;MDFIC;GVINP1;CRYBG1;TC2N;ODF2L;BCL2;ZNF831;MECP2;TNFAIP8;NSMCE3;ITK;H1-3;GPRIN3;TMX4;PCNX1;CDKN1B;TRAT1;RSBN1;SEMA4D;TNRC6C;SCML4;GCC2;CCSER2;PCSK7;SLFN5;SPTAN1;CREBRF;RRN3P1;JMY;TNFSF8;TBC1D10C;FCMR;FBXO32;ARIH1;HELB;KAT6A;GLS2;RNF19A;INTS6;SOCS1;CASP8;SLC4A7;DUSP5;OXNAD1;MGAT4A;CD6;USP36	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000499 stromal cell | CL:0000814 mature NK T cell | CL:0002139 endothelial cell of vascular tree | CL:0000625 CD8-positive, alpha-beta T cell | CL:0000789 alpha-beta T cell			
Helper T cell	4371	RAPGEF6;SEMA4D;INPP4B;TSPYL1;CD40LG;BATF;LINC00402;NSMCE3;MCUB;DGKA;PASK;RESF1;NR3C1;ITK;TNFAIP8;PIK3IP1;GIMAP5;CHRM3-AS2;TC2N;GPRIN3;SCML4;NCK2;ICOS;TNFSF8;OXNAD1;TMC8;CHD2;YME1L1;ZBTB10;CD6;CMTM8;FCMR;GCC2;DENND2D;TRAT1;AAK1;RSBN1;HELB;GIMAP4;IPCEF1;TARS3;CITED2;ZNF831;JAK3;BCL11B;ZAP70;LINC-PINT;LCP2;LINC00892;LINC01550	CL:0000912	helper T cell	CL:0002038 T follicular helper cell | CL:0000492 CD4-positive helper T cell | CL:0000499 stromal cell | CL:0000897 CD4-positive, alpha-beta memory T cell | CL:0000904 central memory CD4-positive, alpha-beta T cell			
CD4 Treg	3917	CTLA4;FOXP3;RTKN2;IL2RA;GBP2;TIGIT;ICOS;SIRPG;FCMR;CD28;SLC6A20;SKAP1;LEF1;IKZF2;TBC1D4;DGKA;BATF;CD5;OPTN;SLFN5;PTPRCAP;TBC1D10C;IPCEF1;TNFRSF14;TMC8;ITK;TRAF3IP3;P2RY10;PBXIP1;FASN;ZAP70;CAMK4;DEFA6;LCP2;SLAMF1;GPRIN3;CDKN1B;CNOT6;BCL2;SPTAN1;IL27RA;FAM102A;SESN3;MCUB;SIGIRR;PHTF2;RHOH;CD247;PELI1;TBCC	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000815 regulatory T cell | CL:0000792 CD4-positive, CD25-positive, alpha-beta regulatory T cell | CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000081 blood cell			
CD4 Tem	3837	MRTFA;FLT3LG;TOB1;PLSCR3;RCAN3;GIMAP1;CD5;FAM107B;LEF1;PRKCQ-AS1;NOSIP;SEPTIN1;GATA3;CDC14A;BCL2;PDE3B;MGAT4A;TRABD2A;CD28;LINC-PINT;TRADD;CYTH1;TRAF3IP3;SEPTIN9;CA5B;NCK2;ATP2B1-AS1;GIMAP5;CD6;TTC39C;LDLRAP1;GPR171;SIGIRR;TBC1D10C;LIME1;TMC6;OXNAD1;SLC6A20;RASA3;TRAT1;LINC01138;AAK1;TMC8;C16orf54;CAPN2;TNFAIP8;THEM4;SPTAN1;FGD3;MCUB			CL:0000907 central memory CD8-positive, alpha-beta T cell | CL:0000900 naive thymus-derived CD8-positive, alpha-beta T cell | CL:0000904 central memory CD4-positive, alpha-beta T cell | CL:0000898 naive T cell | CL:0000895 naive thymus-derived CD4-positive, alpha-beta T cell			
Erythroid progenitor cell	3212	GYPA;ALAD;RFESD;HMBS;GYPB;HBZ;STRADB;MYL4;CPOX;PPME1;KLF1;FECH;C17orf99;TLCD4;SMIM1;RHAG;SPTA1;ANK1;ERMAP;GYPE;EPB42;DCAF11;AHSP;UBAC1;SLC2A1;HAGH;TANGO2;CDC27;FAM210B;HCRT;FAM104A;HBQ1;EPOR;RMDN3;SLC1A5;MINPP1;TGM2;FBXO9;BPGM;SLC25A39;GFUS;LRP5;MBOAT2;DCAF6;CR1L;ADD2;AP2A1;PKLR;HPS1;RHCE	CL:0000038	erythroid progenitor cell	CL:0000232 erythrocyte | CL:0000764 erythroid lineage cell | CL:0000081 blood cell | CL:0000839 myeloid lineage restricted progenitor cell | CL:0000836 promyelocyte			
CD8 Tem	3127	GZMH;FGFBP2;GNLY;SAMD3;GZMB;KLRG1;LINC01871;PATL2;LINC02446;TRG-AS1;ADGRG1;LINC00861;HOPX;CLEC2D;LYAR;TBX21;RASGRP1;SUN2;ABHD17A;GNG2;LINC00623;PTPN4;FCRL6;PRF1;S1PR5;ZAP70;SKAP1;STK10;SYNE1;PYHIN1;DIP2A;TBC1D10C;RASAL3;ADRB2;RNF166;ITGAL;CD8B;MYO1G;MECP2;CEP78;CAPN2;IFNG;IRF1-AS1;SMAD7;STK38;LINC-PINT;SIGIRR;RNF213;CYFIP2;SYNE2			CL:0000939 CD16-positive, CD56-dim natural killer cell, human | CL:0001087 effector memory CD4-positive, alpha-beta T cell, terminally differentiated | CL:0001082 immature innate lymphoid cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
Vascular endothelial cell	3019	PTPRM;SIPA1L1;ARL15;CNKSR3;KIAA1217;PRKCE;MECOM;PTPRG;RNA28S5;TTC28;SNTG1;ROBO1;PLEKHG1;LINC00486;RASAL2;AGAP1;DACH1;MYRIP;PEAK1;AUTS2;SHANK3;CHSY3;DOCK4;CASK;PCSK6;CHRM3;ZNF521;TRIO;NECTIN4;MAML2;BCL2;ADAMTSL1;APBB2;NAV3;FGF12;IGF1R;ZFAND3;EXOC4;EXT1;TCF12;BMPR2;PPP1R13B;H19;RAPGEF2;PSD3;ARHGAP28;ELMO1;LRMDA;UBASH3B;PTPRB	CL:0002139	endothelial cell of vascular tree	CL:0002139 endothelial cell of vascular tree | CL:0000499 stromal cell | CL:0002393 intermediate monocyte | CL:0000775 neutrophil | CL:0000094 granulocyte			
MAIT cell	2403	SLC4A10;TRAV1-2;NCR3;IL18RAP;GBP5;SH2D2A;SYTL2;MGAT4A;ODF2L;CXCR6;TNF;LINC01871;GPR171;INTS6;ERN1;MYLIP;PRR5;MYBL1;PPP1R15B;CD96;LINC01138;AUTS2;TTC39C;YME1L1;TC2N;LAG3;ADRB2;HERPUD2;ZC3H12A;PHF1;STAT4;SLAMF1;RBL2;SLC7A5;TSEN54;RORA;ZAP70;CAMK4;GTF3C1;SATB1;DUSP16;CCR6;CD6;ZBTB10;CYTH1;CDK17;GPRIN3;CHD2;PITPNC1;PTPRCAP	CL:0000940	mucosal-associated invariant T cell	CL:0000940 mucosal-associated invariant T cell | CL:0000939 CD16-positive, CD56-dim natural killer cell, human | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell | CL:0001065 innate lymphoid cell			
Conventional dendritic cell 1	2232	CLEC9A;DNASE1L3;XCR1;BATF3;CADM1;CCDC126;RAB7B;PLCD1;CLNK;ASB2;WDFY4;IDO1;SERPINF2;TPMT;KCNK6;VAC14;ENPP1;ANPEP;P2RY14;MYCL;IFT20;GCSAM;APOL3;SLAMF8;CAMK2D;RHOF;TLR10;BLOC1S2;SUSD3;HAVCR2;TMEM14A;BTLA;MSL3;ASAP1;PTGES2;P2RY6;VMO1;NDRG2;SEC14L2;NAAA;PDE4DIP;AIM2;TMEM9B;RUBCNL;ITGB7;CPNE3;UCHL3;PPM1M;OTULINL;SMCO4	CL:0000990	conventional dendritic cell	CL:0000990 conventional dendritic cell | CL:0000451 dendritic cell | CL:0000784 plasmacytoid dendritic cell | CL:0000499 stromal cell | CL:0000954 small pre-B-II cell			
Lymphoid cell	1978	KCNQ5;AFF3;FCHSD2;CARD11;SSH2;CAMK1D;DLEU2;PTPRJ;RABGAP1L;MGAT5;TMEM131L;JAZF1;SNX29;KLF12;AUTS2;SIPA1L3;TBC1D5;LINC00486;FAF1;VPS13B;RNA28S5;PDE4D;UTRN;EXOC4;BACH2;ZFAND3;NIBAN3;CAMK2D;ARHGEF18;SIK3;RALGPS2;PRKCB;PMEPA1;SPIDR;VAV3;ZHX2;ARHGAP24;PPP3CA;VTI1A;EIF4G3;NCOA2;WWOX;OSBPL10;SRPK2;RAD51B;NECTIN4;MBD5;SKAP1;KHDRBS2;HDAC9	CL:0000542	lymphocyte	CL:0000814 mature NK T cell | CL:0000499 stromal cell | CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0002139 endothelial cell of vascular tree			
