panel	key	value
c	Skin|Epithelial stem cell -> basal cell of epidermis	margin=1.123;confident=False;gold_compatible=None
c	Prostate|T cell -> mature NK T cell	margin=1.119;confident=False;gold_compatible=None
c	Kidney|Stromal cell -> kidney interstitial fibroblast	margin=1.118;confident=False;gold_compatible=None
c	Prostate|Endothelial cell -> prostate gland microvascular endothelial cell	margin=1.117;confident=False;gold_compatible=None
c	Adipose|T cell -> CD8-positive, alpha-beta T cell	margin=1.115;confident=False;gold_compatible=None
c	Oesophagus|T cell -> gamma-delta T cell	margin=1.106;confident=False;gold_compatible=None
c	Pancreas|Myeloid cell -> classical monocyte	margin=1.104;confident=False;gold_compatible=True
c	Stomach|Endothelial cell -> endothelial cell of artery	margin=1.104;confident=False;gold_compatible=None
c	Bone_marrow|Myeloid cell -> promyelocyte	margin=1.100;confident=False;gold_compatible=True
c	Muscle|Endothelial cell -> endothelial cell of arteriole	margin=1.099;confident=False;gold_compatible=None
c	Eye|Vascular endothelial cell -> endothelial cell of artery	margin=1.099;confident=False;gold_compatible=None
c	Intestine|Myeloid cell -> CL:4047053	margin=1.095;confident=False;gold_compatible=None
c	Lymph_node|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell	margin=1.092;confident=False;gold_compatible=None
c	Heart|Monocyte -> CD14-positive monocyte	margin=1.080;confident=False;gold_compatible=None
c	Liver|Vascular endothelial cell -> endothelial stalk cell	margin=1.078;confident=False;gold_compatible=True
c	Lymph_node|T cell -> regulatory T cell	margin=1.076;confident=False;gold_compatible=None
c	Blood|T cell -> T follicular helper cell	margin=1.071;confident=False;gold_compatible=True
c	Oesophagus|Endothelial cell -> blood vessel endothelial cell	margin=1.070;confident=False;gold_compatible=None
c	Lymph_node|B cell -> memory B cell	margin=1.069;confident=False;gold_compatible=None
c	Intestine|T cell -> gamma-delta T cell	margin=1.067;confident=False;gold_compatible=None
c	Brain|Astrocyte -> hippocampal astrocyte	margin=1.065;confident=False;gold_compatible=None
c	Intestine|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell	margin=1.064;confident=False;gold_compatible=None
c	Lung|Macrophage -> alternatively activated macrophage	margin=1.063;confident=False;gold_compatible=None
c	Blood|Conventional dendritic cell -> CD1c-positive myeloid dendritic cell	margin=1.063;confident=False;gold_compatible=True
c	Nose|Ciliated cell -> ciliated columnar cell of tracheobronchial tree	margin=1.062;confident=False;gold_compatible=None
c	Bronchi|Epithelial progenitor cell -> respiratory suprabasal cell	margin=1.061;confident=False;gold_compatible=None
c	Muscle|Skeletal muscle cell -> skeletal muscle satellite stem cell	margin=1.060;confident=False;gold_compatible=None
c	Skin|B cell -> small pre-B-II cell	margin=1.060;confident=False;gold_compatible=None
c	Kidney|Lymphoid cell -> memory T cell	margin=1.060;confident=False;gold_compatible=None
c	Blood|Monocyte -> CD14-positive, CD16-negative classical monocyte	margin=1.056;confident=False;gold_compatible=True
c	Blood|Lymphoid cell -> ILC1, human	margin=1.056;confident=False;gold_compatible=True
c	Muscle|Lymphoid cell -> CD8-positive, alpha-beta memory T cell	margin=1.053;confident=False;gold_compatible=None
c	Liver|Hepatocyte -> midzonal region hepatocyte	margin=1.052;confident=False;gold_compatible=True
c	Spleen|T cell -> activated CD8-positive, alpha-beta T cell	margin=1.052;confident=False;gold_compatible=None
c	Bronchi|Fibroblast -> CL:4052030	margin=1.050;confident=False;gold_compatible=None
c	Uterus|Myeloid cell -> monocyte	margin=1.046;confident=False;gold_compatible=None
c	Spleen|CD4 T cell -> T follicular helper cell	margin=1.043;confident=False;gold_compatible=None
c	Brain|Inhibitory neuron -> medial ganglionic eminence derived GABAergic cortical interneuron	margin=1.040;confident=False;gold_compatible=None
c	Intestine|Plasma B cell -> IgG plasma cell	margin=1.040;confident=False;gold_compatible=None
c	Lymph_node|NK cell -> CD16-negative, CD56-bright natural killer cell, human	margin=1.038;confident=False;gold_compatible=None
c	Heart|Smooth muscle cell -> vascular associated smooth muscle cell	margin=1.037;confident=False;gold_compatible=None
c	Bone_marrow|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell	margin=1.036;confident=False;gold_compatible=True
c	Brain|Endothelial cell -> vein endothelial cell	margin=1.035;confident=False;gold_compatible=None
c	Liver|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell	margin=1.033;confident=False;gold_compatible=True
c	Nose|Basal cell -> basal cell of epithelium of trachea	margin=1.033;confident=False;gold_compatible=None
c	Eye|Horizontal cell -> H1 horizontal cell	margin=1.033;confident=False;gold_compatible=None
c	Blood|Myeloid cell -> neutrophil	margin=1.031;confident=False;gold_compatible=True
c	Muscle|Myeloid cell -> monocyte	margin=1.031;confident=False;gold_compatible=None
c	Bone_marrow|CD4 T cell -> CD4-positive, CD25-positive, alpha-beta regulatory T cell	margin=1.030;confident=False;gold_compatible=True
c	Blood|B cell -> naive B cell	margin=1.030;confident=False;gold_compatible=True
c	Prostate|Fibroblast -> fibroblast of connective tissue of glandular part of prostate	margin=1.029;confident=False;gold_compatible=None
c	Heart|T cell -> activated CD8-positive, alpha-beta T cell	margin=1.026;confident=False;gold_compatible=None
c	Eye|Retinal ganglion cell -> ON midget ganglion cell	margin=1.025;confident=False;gold_compatible=None
c	Blood|CD4 T cell -> effector memory CD4-positive, alpha-beta T cell	margin=1.023;confident=False;gold_compatible=True
c	Lymph_node|CD4 T cell -> T follicular helper cell	margin=1.023;confident=False;gold_compatible=None
c	Kidney|Progenitor cell -> myeloid lineage restricted progenitor cell	margin=1.021;confident=False;gold_compatible=None
c	Bone_marrow|Haematopoietic stem and progenitor cell -> early lymphoid progenitor	margin=1.018;confident=False;gold_compatible=True
c	Blood|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell	margin=1.014;confident=False;gold_compatible=True
c	Kidney|Myeloid cell -> neutrophil	margin=1.013;confident=False;gold_compatible=None
c	Prostate|Lymphoid cell -> CD8-positive, alpha-beta thymocyte	margin=1.012;confident=False;gold_compatible=None
c	Spleen|Myeloid cell -> neutrophil	margin=1.009;confident=False;gold_compatible=None
c	Adrenal_gland|Myeloid cell -> macrophage	margin=1.007;confident=False;gold_compatible=None
c	Bone_marrow|T cell -> mature NK T cell	margin=1.007;confident=False;gold_compatible=True
c	Stomach|Epithelial cell -> enterocyte	margin=1.004;confident=False;gold_compatible=None
c	Femur|T cell -> effector memory CD8-positive, alpha-beta T cell, terminally differentiated	margin=1.004;confident=False;gold_compatible=None
c	Lymph_node|Monocyte -> classical monocyte	margin=1.004;confident=False;gold_compatible=None
c	Lung|Ciliated cell -> ciliated columnar cell of tracheobronchial tree	margin=1.003;confident=False;gold_compatible=None
c	Skin|Conventional dendritic cell 2 -> monocyte-derived dendritic cell	margin=1.003;confident=False;gold_compatible=None
c	Bronchi|Ciliated cell -> ciliated columnar cell of tracheobronchial tree	margin=1.002;confident=False;gold_compatible=None
c	Skin|Epithelial cell -> epidermal cell	margin=1.002;confident=False;gold_compatible=None
c	Lymph_node|ILC -> natural killer cell	margin=1.001;confident=False;gold_compatible=None
c	Salivary_gland|CD8 T cell -> effector CD8-positive, alpha-beta T cell	margin=1.001;confident=False;gold_compatible=None
c	Skin|Conventional dendritic cell -> myeloid dendritic cell	margin=1.001;confident=False;gold_compatible=None
c	Stomach|Myeloid cell -> neutrophil	margin=1.001;confident=False;gold_compatible=None
c	Kidney|Macrophage -> alternatively activated macrophage	margin=1.000;confident=False;gold_compatible=None
c	Gallbladder|Myeloid cell -> macrophage	margin=1.000;confident=False;gold_compatible=None
c	Lymph_node|Macrophage -> tissue-resident macrophage	margin=1.000;confident=False;gold_compatible=None
c	Muscle|CD8 T cell -> effector memory CD8-positive, alpha-beta T cell, terminally differentiated	margin=1.000;confident=False;gold_compatible=None
